LoggerBefore,DeviceTime,Light,Setpoint,Intensity,LoggerAfter
1589810485.020430088,1589803285.436172009,0,0,0,1589810485.020430088
1589810485.020430088,1589803285.444910049,0,0,0,1589810485.020430088
1589810485.020430088,1589803285.453948021,0,0,0,1589810485.020430088
1589810485.020430088,1589803285.462176085,0,0,0,1589810485.020430088
1589810485.021420240,1589803285.470112085,0,0,0,1589810485.021420240
1589810485.021420240,1589803285.478130102,0,0,0,1589810485.021420240
1589810485.021420240,1589803285.486105919,0,0,0,1589810485.021420240
1589810485.021420240,1589803285.494112015,0,0,0,1589810485.021420240
1589810485.060533524,1589803285.501961946,0,0,0,1589810485.060533524
1589810485.107799530,1589803285.510094881,0,0,0,1589810485.107799530
1589810485.107799530,1589803285.519449949,0,0,0,1589810485.107799530
1589810485.107799530,1589803285.527894020,0,0,0,1589810485.107799530
1589810485.107799530,1589803285.536453009,0,0,0,1589810485.107799530
1589810485.107799530,1589803285.544838905,0,0,0,1589810485.107799530
1589810485.107799530,1589803285.553062916,0,0,0,1589810485.107799530
1589810485.107799530,1589803285.561130047,0,0,0,1589810485.107799530
1589810485.107799530,1589803285.569120884,0,0,0,1589810485.107799530
1589810485.107799530,1589803285.577176094,0,0,0,1589810485.107799530
1589810485.141092062,1589803285.585230112,0,0,0,1589810485.141092062
1589810485.188012838,1589803285.593266964,0,0,0,1589810485.188012838
1589810485.264516115,1589803285.602653980,0,0,0,1589810485.264516115
1589810485.264516115,1589803285.610934019,0,0,0,1589810485.264516115
1589810485.264516115,1589803285.619045973,0,0,0,1589810485.264516115
1589810485.264516115,1589803285.627901077,0,0,0,1589810485.264516115
1589810485.264516115,1589803285.636095047,0,0,0,1589810485.264516115
1589810485.264516115,1589803285.644063950,0,0,0,1589810485.264516115
1589810485.264516115,1589803285.652622938,0,0,0,1589810485.264516115
1589810485.264516115,1589803285.660891056,0,0,0,1589810485.264516115
1589810485.264516115,1589803285.668934107,0,0,0,1589810485.264516115
1589810485.271630287,1589803285.676945925,0,0,0,1589810485.271630287
1589810485.271630287,1589803285.686244965,0,0,0,1589810485.271630287
