Before,After,Value
1589812884.080873966,1589812884.177553177,100
1589812889.178443432,1589812889.278253317,0
1589812894.278375626,1589812894.372964621,100
1589812899.373927832,1589812899.464917898,0
1589812904.465881824,1589812904.561123371,100
1589812909.562000751,1589812909.656717062,0
1589812914.656770229,1589812914.760306835,100
1589812919.761137486,1589812919.857156515,0
1589812924.857439756,1589812924.951936483,100
1589812929.952208757,1589812930.053175449,0
1589812935.053368807,1589812935.147774220,100
1589812940.147869349,1589812940.239916325,0
1589812945.240641832,1589812945.341144800,100
1589812950.341548443,1589812950.441925526,0
1589812955.442907333,1589812955.538870811,100
1589812960.539118052,1589812960.641145706,0
1589812965.641240358,1589812965.733255863,100
1589812970.733890057,1589812970.833120823,0
1589812975.833654642,1589812975.929876804,100
1589812980.929963589,1589812981.029734612,0
1589812986.030480385,1589812986.129091978,100
1589812991.129886627,1589812991.230732441,0
1589812996.230861664,1589812996.334211588,100
1589813001.334856033,1589813001.425440550,0
1589813006.425641060,1589813006.530314207,100
1589813011.530668974,1589813011.622747183,0
1589813016.622864962,1589813016.725864887,100
1589813021.726106882,1589813021.820456982,0
1589813026.820874691,1589813026.912760019,100
1589813031.913380623,1589813032.012795448,0
1589813037.013509274,1589813037.111480236,100
1589813042.112395763,1589813042.208873272,0
1589813047.209734201,1589813047.316925287,100
1589813052.317822218,1589813052.411753416,0
1589813057.412190437,1589813057.510443211,100
1589813062.511197329,1589813062.616509676,0
1589813067.617329359,1589813067.713389635,100
1589813072.713979721,1589813072.803980350,0
1589813077.804749489,1589813077.897750616,100
1589813082.898707390,1589813082.999100447,0
1589813087.999778032,1589813088.103338957,100
1589813093.103602171,1589813093.205989122,0
1589813098.206191301,1589813098.303347349,100
1589813103.303470135,1589813103.401148558,0
1589813108.401330709,1589813108.501829147,100
1589813113.502789021,1589813113.601889372,0
1589813118.602396727,1589813118.701875448,100
1589813123.702133179,1589813123.816716194,0
1589813128.816953659,1589813128.917051315,100
1589813133.917810678,1589813134.014199734,0
1589813139.014553070,1589813139.121230841,100
1589813144.121863604,1589813144.221967936,0
1589813149.222982407,1589813149.325788021,100
1589813154.326071739,1589813154.431085825,0
1589813159.431978703,1589813159.531244040,100
