Before,After,Value
1589828054.455731869,1589828054.557748556,0
1589828059.558004379,1589828059.666288853,100
1589828064.666346550,1589828064.763847589,0
1589828069.764545679,1589828069.858103752,100
1589828074.859087706,1589828074.956119776,0
1589828079.956872225,1589828080.053160667,100
1589828085.053993940,1589828085.156344652,0
1589828090.156734705,1589828090.254892826,100
1589828095.255379200,1589828095.353500128,0
1589828100.354094028,1589828100.455088615,100
1589828105.455660105,1589828105.553996563,0
1589828110.554239035,1589828110.647589207,100
1589828115.648686171,1589828115.748878241,0
1589828120.749099493,1589828120.855098963,100
1589828125.855586290,1589828125.958653688,0
1589828130.958758593,1589828131.060964346,100
1589828136.061113596,1589828136.160598993,0
1589828141.161552668,1589828141.250553131,100
1589828146.251490593,1589828146.907525063,0
1589828151.908433437,1589828152.827115297,100
1589828157.828158379,1589828158.413950920,0
1589828163.414737940,1589828163.970075130,100
1589828168.970459223,1589828169.362181425,0
1589828174.362900257,1589828174.970918894,100
1589828179.971745968,1589828180.522359133,0
1589828185.522984266,1589828186.124162197,100
1589828191.124771357,1589828191.431366444,0
1589828196.432023287,1589828196.910993338,100
1589828201.911301374,1589828202.803028584,0
1589828207.803201437,1589828208.287433147,100
1589828213.287896633,1589828213.938607693,0
1589828218.938832998,1589828219.654682636,100
1589828224.655543804,1589828225.507026672,0
1589828230.507165194,1589828231.105865479,100
1589828236.106503487,1589828236.330762863,0
1589828241.331546545,1589828241.594894648,100
1589828246.595676899,1589828247.103034735,0
1589828252.103563786,1589828252.633767843,100
1589828257.634436846,1589828257.928665638,0
1589828262.928829432,1589828263.405575752,100
1589828268.406111002,1589828269.007365465,0
1589828274.007946968,1589828274.213473797,100
1589828279.213881493,1589828279.536308765,0
1589828284.536679506,1589828285.097224236,100
1589828290.097935915,1589828290.205337048,0
1589828295.205420971,1589828295.827596188,100
1589828300.828329325,1589828301.729281902,0
1589828306.729892492,1589828307.136933804,100
