CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589825700.2286668,1589818501.256043,1589818501.256043,0.0,1589818501.509699
1589825705.32116,1589818506.3547802,1589818506.3547802,100.0,1589818506.5914156
1589825710.4197218,1589818511.4571068,1589818511.4571068,0.0,1589818511.666312
1589825715.5330703,1589818516.57147,1589818516.57147,100.0,1589818516.747082
1589825720.6345658,1589818521.665661,1589818521.665661,0.0,1589818521.824424
1589825725.7264748,1589818526.750431,1589818526.750431,100.0,1589818526.9027534
1589825730.8236468,1589818531.8518898,1589818531.8518898,0.0,1589818531.9873807
1589825735.9067044,1589818536.944003,1589818536.944003,100.0,1589818537.062034
1589825741.0031486,1589818542.049085,1589818542.049085,0.0,1589818542.1414418
1589825746.0962796,1589818547.1287887,1589818547.1287887,100.0,1589818547.2206008
1589825751.1923091,1589818552.218225,1589818552.218225,0.0,1589818552.304552
1589825756.3093894,1589818557.3464007,1589818557.3464007,100.0,1589818557.893368
1589825761.4081972,1589818562.4329882,1589818562.4329882,0.0,1589818562.968459
1589825766.5124288,1589818567.5403779,1589818567.5403779,100.0,1589818568.047837
1589825771.6146832,1589818572.650726,1589818572.650726,0.0,1589818573.126083
1589825776.714375,1589818577.7408028,1589818577.7408028,100.0,1589818578.206902
1589825781.8133671,1589818582.839866,1589818582.839866,0.0,1589818583.280642
1589825786.9034963,1589818587.925072,1589818587.925072,100.0,1589818588.357973
1589825792.006146,1589818593.0355709,1589818593.0355709,0.0,1589818593.433793
1589825797.1083314,1589818598.1451483,1589818598.1451483,100.0,1589818598.5202076
1589825802.2125466,1589818603.246407,1589818603.246407,0.0,1589818603.596966
1589825807.3153446,1589818608.3401906,1589818608.3401906,100.0,1589818608.6772268
1589825812.413291,1589818613.438851,1589818613.438851,0.0,1589818613.750912
1589825817.5163836,1589818618.550431,1589818618.550431,100.0,1589818618.8290348
1589825822.6123927,1589818623.6531162,1589818623.6531162,0.0,1589818623.916041
1589825827.7105117,1589818628.7453268,1589818628.7453268,100.0,1589818628.9917667
1589825832.8044028,1589818633.8322098,1589818633.8322098,0.0,1589818634.0683887
1589825837.9075153,1589818638.9450607,1589818638.9450607,100.0,1589818639.147753
1589825843.0201614,1589818644.0578682,1589818644.0578682,0.0,1589818644.224638
1589825848.1231098,1589818649.155404,1589818649.155404,100.0,1589818649.305926
1589825853.2247949,1589818654.2775102,1589818654.2775102,0.0,1589818654.379171
1589825858.3260503,1589818659.361593,1589818659.361593,100.0,1589818659.453773
1589825863.4280806,1589818664.45909,1589818664.45909,0.0,1589818665.044959
1589825868.522007,1589818669.5547948,1589818669.5547948,100.0,1589818670.125027
1589825873.6263793,1589818674.654752,1589818674.654752,0.0,1589818675.1957927
1589825878.7313788,1589818679.764878,1589818679.764878,100.0,1589818680.2740607
1589825883.8313785,1589818684.856626,1589818684.856626,0.0,1589818685.355544
1589825888.9178867,1589818689.9473958,1589818689.9473958,100.0,1589818690.427619
1589825894.0338864,1589818695.0661948,1589818695.0661948,0.0,1589818695.5099847
1589825899.1171858,1589818700.145782,1589818700.145782,100.0,1589818700.590023
1589825904.2194939,1589818705.2501807,1589818705.2501807,0.0,1589818705.664836
1589825909.3227994,1589818710.367989,1589818710.367989,100.0,1589818710.741732
1589825914.4241664,1589818715.456078,1589818715.456078,0.0,1589818715.826571
1589825919.5571587,1589818720.59382,1589818720.59382,100.0,1589818720.9007802
1589825924.6528015,1589818725.7008429,1589818725.7008429,0.0,1589818725.980104
1589825929.7528002,1589818730.792202,1589818730.792202,100.0,1589818731.062729
1589825934.8490624,1589818735.8768547,1589818735.8768547,0.0,1589818736.143989
1589825939.957127,1589818740.9997892,1589818740.9997892,100.0,1589818741.22397
1589825945.064975,1589818746.093571,1589818746.093571,0.0,1589818746.304011
1589825950.1499474,1589818751.188873,1589818751.188873,100.0,1589818751.37364
1589825955.2449667,1589818756.282681,1589818756.282681,0.0,1589818756.4505563
1589825960.3449667,1589818761.375147,1589818761.375147,100.0,1589818761.536256
1589825965.4446015,1589818766.4859807,1589818766.4859807,0.0,1589818766.612778
1589825970.5389714,1589818771.567891,1589818771.567891,100.0,1589818771.6866367
1589825975.65451,1589818776.699341,1589818776.699341,0.0,1589818777.277816
