CommandTime,DeviceTime,ValueChanged,Value,LightChanged
1589826322.505147,1589819123.547456,1589826322.6981475,0.0,1589826322.818147
1589826327.6059487,1589819128.6520894,1589826327.8428874,100.0,1589826327.8750534
1589826332.7108662,1589819133.7464359,1589826332.9098926,0.0,1589826333.461494
1589826337.8027549,1589819138.84568,1589826338.033798,100.0,1589826338.5465553
1589826342.9093306,1589819143.955558,1589826343.0950077,0.0,1589826343.6097126
1589826348.0151217,1589819149.0560067,1589826348.1779888,100.0,1589826348.6438606
1589826353.1215582,1589819154.165045,1589826353.3465588,0.0,1589826353.7565596
1589826358.2199667,1589819159.2670476,1589826358.4119651,100.0,1589826358.8419666
1589826363.3229089,1589819164.364883,1589826363.4942913,0.0,1589826363.9046915
1589826368.4177623,1589819169.4877927,1589826368.5978074,100.0,1589826369.036937
1589826373.5176365,1589819174.558854,1589826373.7096362,0.0,1589826374.0773351
1589826378.6335232,1589819179.6904109,1589826378.8565228,100.0,1589826379.153523
1589826383.726523,1589819184.768399,1589826383.9295244,0.0,1589826384.225523
1589826388.8335233,1589819189.87706,1589826389.039523,100.0,1589826389.332523
1589826393.9345236,1589819194.9864728,1589826394.174523,0.0,1589826394.4335232
1589826399.0355222,1589819200.080584,1589826399.1965222,100.0,1589826399.513525
1589826404.1385245,1589819205.187921,1589826404.2825232,0.0,1589826404.5635257
1589826409.2389276,1589819210.2795527,1589826409.4029965,100.0,1589826409.6045625
1589826414.3382077,1589819215.37944,1589826414.528234,0.0,1589826414.7729638
1589826419.4385939,1589819220.483941,1589826419.5825946,100.0,1589826419.8275938
1589826424.543594,1589819225.6052198,1589826424.8065927,0.0,1589826424.8245935
1589826429.6438673,1589819230.69785,1589826429.820845,100.0,1589826430.0010054
1589826434.759766,1589819235.803012,1589826434.9865255,0.0,1589826435.0098188
1589826439.862994,1589819240.9065928,1589826440.01432,100.0,1589826440.6479356
1589826444.9678595,1589819246.0377507,1589826445.1598592,0.0,1589826445.7178588
1589826450.07886,1589819251.1247587,1589826450.2718592,100.0,1589826450.7328596
1589826455.1828594,1589819256.2305138,1589826455.3718586,0.0,1589826455.8388586
1589826460.2828598,1589819261.3240573,1589826460.5148602,100.0,1589826460.9228604
1589826465.374858,1589819266.42172,1589826465.5718591,0.0,1589826465.9798589
1589826470.4698591,1589819271.5107558,1589826470.7238598,100.0,1589826471.0658598
1589826475.5698595,1589819276.608973,1589826475.8118606,0.0,1589826476.1388588
1589826480.669858,1589819281.7210119,1589826480.9008596,100.0,1589826481.2808595
1589826485.7679324,1589819286.813067,1589826485.996634,0.0,1589826486.2903132
1589826490.8573842,1589819291.900326,1589826491.0702372,100.0,1589826491.3694541
1589826495.948082,1589819296.9884,1589826496.1612496,0.0,1589826496.455034
1589826501.049767,1589819302.095102,1589826501.221766,100.0,1589826501.5503058
1589826506.1561275,1589819307.19956,1589826506.4083052,0.0,1589826506.6779325
1589826511.2538402,1589819312.302617,1589826511.4881017,100.0,1589826511.7103562
1589826516.3523057,1589819317.4000268,1589826516.5723066,0.0,1589826516.7373312
1589826521.4369452,1589819322.4797502,1589826521.6613212,100.0,1589826521.8240302
1589826526.53355,1589819327.575612,1589826526.7155507,0.0,1589826526.9665794
1589826531.6283677,1589819332.6692429,1589826531.8165023,100.0,1589826531.973277
1589826536.7273962,1589819337.7679207,1589826536.872589,0.0,1589826537.0401287
1589826541.8274236,1589819342.869425,1589826542.045126,100.0,1589826542.1613295
1589826546.9249015,1589819347.9723902,1589826547.0762084,0.0,1589826547.2856178
